person,diff_mean,diff_max,session_count
4886f805,0.058055555555555555,0.058055555555555555,1.0
ad93850f,0.09532407407407406,0.46749999999999997,6.0
0297fc1e,0.12009523809523812,0.678888888888889,70.0
2d681dd8,0.17009259259259257,0.37638888888888883,3.0
cccea85e,0.1520701058201058,0.8477777777777777,42.0
4c8a8b93,0.16880952380952383,0.7547222222222223,21.0
1b9f7cf6,0.02416666666666667,0.02416666666666667,1.0
29ebb414,0.09783333333333333,0.3044444444444444,5.0
de8fe91b,0.0375,0.07194444444444445,4.0
45baf068,0.019444444444444445,0.0661111111111111,4.0
99abca5a,0.09185606060606057,0.421111111111111,44.0
3dc1950f,0.08869918699186992,0.46222222222222226,41.0
8ea4c165,0.19930555555555557,0.7630555555555557,10.0
64f45e8d,0.2866666666666666,0.5555555555555555,2.0
d8cfe234,0.22216666666666668,0.5011111111111111,5.0
ade6b3bf,0.153858024691358,0.8383333333333332,9.0
d73ae9ef,0.3001388888888889,0.5647222222222222,2.0
d6bc64df,0.07669444444444444,0.34833333333333333,10.0
ec9c4059,0.122,0.4872222222222222,10.0
b2cde41a,0.2752777777777778,0.3377777777777778,4.0
15ea8012,0.2491203703703703,0.6991666666666666,6.0
43790d8f,0.07361111111111111,0.12555555555555556,6.0
d21b8e6b,0.876111111111111,0.876111111111111,1.0
2a724d87,,,
429c8732,0.12239114114114118,0.8377777777777778,74.0
686c49c9,0.10138888888888886,0.2869444444444444,3.0
4e03ed9a,0.30513888888888885,0.5955555555555555,2.0
a08d42ea,0.3275,0.5522222222222223,4.0
16fad36a,0.13185185185185191,1.0877777777777777,66.0
be32e904,0.32722222222222225,0.32722222222222225,1.0
6e6770c3,0.096875,0.2913888888888889,8.0
9bb3af27,0.046388888888888896,0.12861111111111112,3.0
c98f5cf1,0.12489583333333336,0.6338888888888891,24.0
ba3e8a89,0.06437499999999999,0.15527777777777774,4.0
d614c608,0.13624999999999998,0.4111111111111111,4.0
2e225ac4,0.2835185185185185,0.6263888888888889,3.0
fc278339,0.08496913580246916,0.5591666666666666,54.0
e45acd53,0.10062962962962964,0.3355555555555556,30.0
7d876393,0.2703075396825397,1.1591666666666667,28.0
f5af843f,0.14005555555555554,0.7327777777777778,15.0
8f1679ff,0.06753472222222222,0.27638888888888885,8.0
5a724794,0.1145959595959596,0.7325000000000002,22.0
c31d0174,0.0920791245791246,0.3544444444444445,33.0
584f5175,0.13980880230880233,1.1766666666666672,77.0
00091926,0.14275985663082438,0.5016666666666668,31.0
911a21cb,0.1646527777777778,0.2997222222222222,4.0
16d0e27d,0.1625111111111111,1.2833333333333334,25.0
55d1e0ee,0.19169444444444445,1.041111111111111,10.0
f87be219,,,
49c19e32,0.11565972222222222,0.5433333333333333,8.0
eb6c498c,0.13261494252873562,1.1805555555555556,116.0
bb78c182,,,
e2bfe05f,0.15208333333333332,0.1772222222222222,2.0
e6c21c98,0.22263888888888886,0.7433333333333333,6.0
83f6fb70,0.10625730994152045,0.33027777777777784,19.0
0e9d0ae2,0.4622222222222222,0.8238888888888888,2.0
cb68850c,0.012222222222222221,0.012222222222222221,1.0
f30ef764,0.34435185185185185,0.8847222222222223,3.0
ca5fa859,0.15949999999999998,0.4947222222222222,5.0
4f06f2dd,0.2416666666666667,0.8072222222222225,6.0
872d9b83,0.1664957264957265,0.5977777777777777,13.0
dca7e4fa,0.09171296296296295,0.36055555555555546,6.0
18489dd5,0.1516388888888889,0.9116666666666667,70.0
f389e5ef,0.18243055555555557,0.5002777777777778,4.0
566b70c7,,,
3cb2bfc5,0.07958333333333334,0.08888888888888889,2.0
0ec008ff,0.19954545454545453,0.5911111111111111,11.0
19876c5b,0.10886111111111112,0.4375,20.0
47710d5d,0.1244934640522876,0.5194444444444446,17.0
36606944,0.25666666666666665,1.1702777777777778,6.0
3c36c384,0.12166666666666665,0.14555555555555552,2.0
25ec69e5,0.10972222222222225,0.20027777777777783,2.0
02a9fd4c,0.2724074074074074,0.5511111111111111,3.0
77edab49,0.13666666666666666,0.13666666666666666,1.0
e9c847d7,0.1303968253968254,0.5891666666666667,14.0
cf26e7dd,0.16898148148148148,0.5427777777777778,6.0
8f7d334b,0.14685185185185182,0.31638888888888883,3.0
fd683087,0.07373188405797101,0.4819444444444444,23.0
aa5593bc,0.1905246913580247,1.0058333333333334,9.0
2f628db1,0.13924349881796688,0.7775000000000001,47.0
e39a4b4f,0.11055555555555556,0.2405555555555556,5.0
b6ff254a,0.21208333333333326,0.780833333333333,4.0
8aeb37ef,0.05424603174603176,0.1652777777777778,7.0
4030bc9c,0.6308333333333334,0.6308333333333334,1.0
78c4ca18,0.03138888888888888,0.06416666666666665,3.0
0204dcec,0.11518518518518518,0.20527777777777778,3.0
99c11fb0,0.11178362573099417,0.5458333333333334,38.0
d383e068,0.1762962962962963,0.5030555555555556,3.0
c76b8417,0.14841035353535362,0.9822222222222221,220.0
5cc1dc20,0.06888888888888889,0.06888888888888889,1.0
17c183c9,0.19159722222222225,1.4694444444444448,20.0
b51c3897,0.07388888888888889,0.10916666666666666,2.0
49013e40,0.15843750000000004,0.7894444444444443,16.0
18ad1f7c,0.21157407407407405,0.6094444444444443,9.0
ea679233,0.0735648148148148,0.34277777777777774,6.0
1b373281,0.1355353535353535,1.1763888888888887,110.0
39df97e0,0.17267676767676765,0.6002777777777777,11.0
d471ab7a,0.15765873015873014,0.6355555555555557,21.0
4473cb91,0.005,0.005,1.0
a90bb821,0.17486111111111113,0.8930555555555555,20.0
66f3c5a8,0.07333333333333332,0.26388888888888884,6.0
dedf1377,0.15817460317460316,0.4747222222222222,14.0
6972936f,0.11305555555555555,0.42638888888888893,8.0
f484e20b,0.07055555555555555,0.22416666666666665,9.0
78a17666,0.13249999999999998,0.35777777777777775,11.0
bb5c496a,0.060638888888888895,0.25166666666666665,20.0
